Time	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_in	TS_DEC_out	
 241	0.000000	0.000000	15.592567	0.000000	0.000000	0.000000	0.000000	-3.727044	0.000000	
 242	0.000000	0.000000	19.218239	0.000000	0.000000	0.000000	0.000000	-3.754155	0.000000	
 243	0.000000	0.000000	22.821439	0.000000	0.000000	0.000000	0.000000	-5.620382	1.858824	
 244	0.000000	0.000000	26.392822	0.000000	0.000000	0.000000	0.000000	-3.759431	0.000000	
 245	0.000000	0.000000	29.913131	0.000000	0.000000	0.000000	0.000000	-5.608497	1.870710	
 246	0.000000	0.000000	26.849417	0.000000	0.000000	0.000000	0.000000	0.000000	2.817231	
 247	0.000000	0.000000	24.787022	0.000000	0.000000	0.000000	0.000000	0.000000	1.841155	
 248	0.000000	0.000000	23.362603	0.000000	0.000000	0.000000	0.000000	0.000000	1.220174	
 249	0.000000	0.000000	22.356150	0.000000	0.000000	0.000000	0.000000	0.000000	0.813945	
 250	0.000000	0.000000	21.688781	0.000000	0.000000	0.000000	0.000000	-3.498026	3.981181	
 251	0.000000	0.000000	21.289855	0.000000	0.000000	0.000000	0.000000	0.000000	0.220211	
 252	0.000000	0.000000	21.125801	0.000000	0.000000	0.000000	0.000000	-0.011375	0.000000	
 253	0.000000	0.000000	21.162187	0.000000	0.000000	0.000000	0.000000	-0.210462	0.000000	
 254	0.000000	0.000000	21.370899	0.000000	0.000000	0.000000	0.000000	-0.383089	0.000000	
 255	0.000000	0.000000	21.734407	0.000000	0.000000	0.000000	0.000000	-0.539604	0.000000	
 256	0.000000	0.000000	22.196220	0.000000	0.000000	0.000000	0.000000	-0.640904	0.000000	
 257	0.000000	0.000000	18.559918	0.000000	0.000000	0.000000	0.000000	0.000000	3.453405	
 258	0.000000	0.000000	19.045347	0.000000	0.000000	0.000000	0.000000	-0.638362	0.000000	
 259	0.000000	0.000000	19.446054	0.000000	0.000000	0.000000	0.000000	-0.557640	0.000000	
 260	0.000000	0.000000	19.766248	0.000000	0.000000	0.000000	0.000000	-0.480430	0.000000	
 261	0.000000	0.000000	20.037382	0.000000	0.000000	0.000000	0.000000	-0.434008	0.000000	
 262	0.000000	0.000000	19.776323	0.000000	0.000000	0.000000	0.000000	0.000000	0.095951	
 263	0.000000	0.000000	15.862902	0.000000	0.000000	0.000000	0.000000	0.000000	3.750464	
 264	0.000000	0.000000	11.964107	0.000000	0.000000	0.000000	0.000000	-1.855561	5.623645	
 265	0.000000	0.000000	15.593762	0.000000	0.000000	0.000000	0.000000	-3.728239	0.000000	
 266	0.000000	0.000000	19.220071	0.000000	0.000000	0.000000	0.000000	-3.754802	0.000000	
 267	0.000000	0.000000	22.823720	0.000000	0.000000	0.000000	0.000000	-3.762022	0.000000	
 268	0.000000	0.000000	26.395591	0.000000	0.000000	0.000000	0.000000	-3.759938	0.000000	
 269	0.000000	0.000000	29.916826	0.000000	0.000000	0.000000	0.000000	-3.738734	0.000000	
